PassengerId,Survived
1,0
3,1
4,1
5,0
6,0
7,0
8,0
9,1
10,1
11,1
12,1
13,0
14,0
16,1
18,0
19,1
20,1
21,0
22,0
24,0
25,1
26,1
28,0
29,1
31,1
32,1
33,1
34,0
35,1
36,1
37,0
38,0
39,1
40,1
41,1
42,1
43,0
44,1
45,1
46,0
48,1
49,0
51,0
52,0
53,1
54,1
55,1
56,0
57,1
60,0
61,0
63,1
64,0
65,1
68,0
69,1
70,0
71,0
74,0
75,0
76,0
77,0
78,0
79,0
81,0
82,0
83,1
85,1
86,1
87,0
88,0
89,1
90,0
91,0
92,0
93,1
94,0
95,0
96,0
97,1
98,1
100,0
101,1
103,1
104,0
105,0
106,0
107,1
108,0
110,1
111,0
112,1
113,0
114,1
115,1
116,0
117,0
119,1
120,1
121,0
122,0
123,1
124,1
125,1
126,0
127,0
128,0
130,0
132,0
133,1
134,1
135,0
138,1
139,0
140,1
141,1
142,1
145,0
147,0
148,1
150,0
152,1
153,0
154,0
156,1
157,1
159,0
160,0
162,1
163,0
164,0
165,0
167,1
168,0
170,0
172,0
174,0
176,0
177,0
179,0
180,0
182,0
184,1
186,0
187,1
188,0
189,0
190,0
191,1
192,0
195,1
196,1
197,0
199,1
200,1
201,0
204,0
206,1
207,0
208,0
209,1
210,1
212,1
213,0
215,0
217,1
219,1
220,0
222,0
223,0
224,0
225,1
226,0
227,0
228,0
229,0
231,1
233,0
235,0
236,1
237,0
238,1
239,0
240,0
241,1
242,1
243,0
244,0
245,0
247,1
248,1
249,1
251,0
252,1
253,0
254,0
255,1
257,1
258,1
259,1
261,0
262,0
263,1
264,0
265,1
266,0
268,0
269,1
270,1
272,0
275,1
276,1
277,1
278,0
279,0
280,1
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,1
291,1
292,1
293,0
295,0
296,1
297,0
298,1
300,1
301,1
302,0
303,0
304,1
305,0
306,1
307,1
308,1
309,1
311,1
312,1
313,1
314,0
315,1
316,1
318,0
319,1
321,0
322,0
323,1
324,1
325,0
327,0
328,1
330,1
331,1
332,0
333,1
337,1
338,1
339,0
340,0
341,1
342,1
344,0
345,0
346,1
348,1
351,0
352,0
353,1
354,0
355,0
356,0
358,1
360,1
361,0
363,1
364,0
365,0
366,0
367,1
368,1
369,1
371,1
372,0
373,0
376,1
377,1
378,1
379,0
380,0
382,1
383,0
385,0
386,0
387,0
388,1
389,0
390,1
392,0
393,0
394,1
395,1
396,0
397,1
398,0
399,0
402,0
403,1
404,0
405,1
407,0
408,1
409,0
410,1
412,0
413,1
414,0
415,0
416,1
417,1
418,1
419,0
420,1
421,0
422,0
423,0
425,0
426,0
429,0
430,0
432,1
433,1
434,0
435,1
436,1
437,1
442,0
443,0
444,1
445,0
447,1
448,0
449,1
450,0
451,1
452,0
453,1
455,0
456,0
457,0
459,1
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,0
469,0
470,1
473,1
474,1
475,1
476,0
478,0
479,0
480,1
482,0
483,0
484,1
485,1
486,1
488,1
489,0
491,0
493,0
494,1
496,0
498,0
499,1
500,0
502,1
504,1
505,1
506,1
507,1
508,0
509,0
512,0
513,0
514,1
515,0
516,0
518,0
519,1
522,0
523,0
525,0
526,0
528,0
529,0
530,1
531,1
532,0
533,1
534,1
535,1
537,0
539,0
540,1
541,1
542,1
543,1
545,1
546,0
548,0
549,0
551,1
552,0
553,0
554,0
555,1
556,0
557,1
558,1
559,1
560,1
563,0
565,1
566,0
567,0
568,0
569,0
571,0
572,1
573,0
574,1
575,0
576,0
577,1
578,1
580,0
581,1
582,1
583,0
584,1
587,0
588,1
589,0
590,0
591,0
592,1
593,0
594,1
595,0
596,0
598,0
599,0
600,1
602,0
603,0
604,0
606,0
607,0
608,0
609,1
610,1
611,1
612,0
613,1
615,0
616,1
617,0
618,1
619,1
620,0
621,0
623,1
624,0
625,0
627,0
629,0
630,0
631,0
632,0
633,1
634,0
635,1
636,1
637,0
